household_id,survey_id,enumerator_id,village_id,district,age,gender,education,occupation,employment_status,income,hours_worked,household_size,interview_duration,survey_date
HH1021,S10021,,V1002,District A,39,M,Secondary,Farming,Employed,24313,33,4,45,2024-05-10
HH1022,S10022,,V1003,District A,32,M,Secondary,Farming,Employed,22991,36,4,45,2024-05-10
HH1023,S10023,,V1004,District A,25,M,Secondary,Farming,Employed,21068,35,4,45,2024-05-10
HH1024,S10024,,V1005,District A,56,M,Secondary,Farming,Employed,11087,45,4,45,2024-05-10
HH1025,S10025,,V1006,District A,47,M,Secondary,Farming,Employed,22658,36,4,45,2024-05-10
HH1026,S10026,,V1007,District A,42,M,Secondary,Farming,Employed,25514,44,4,45,2024-05-10
HH1027,S10027,,V1008,District A,36,M,Secondary,Farming,Employed,10906,39,4,45,2024-05-10
HH1028,S10028,,V1009,District A,34,M,Secondary,Farming,Employed,26197,36,4,45,2024-05-10
HH1029,S10029,,V1010,District A,53,M,Secondary,Farming,Employed,13376,42,4,45,2024-05-10
HH1030,S10030,,V1001,District A,52,M,Secondary,Farming,Employed,23476,33,4,45,2024-05-10
HH1031,S10031,,V1002,District A,43,M,Secondary,Farming,Employed,19354,47,4,45,2024-05-10
HH1032,S10032,,V1003,District A,24,M,Secondary,Farming,Employed,24730,43,4,45,2024-05-10
HH1033,S10033,,V1004,District A,41,M,Secondary,Farming,Employed,11672,48,4,45,2024-05-10
HH1034,S10034,,V1005,District A,52,M,Secondary,Farming,Employed,24150,35,4,45,2024-05-10
HH1035,S10035,,V1006,District A,47,M,Secondary,Farming,Employed,11552,35,4,45,2024-05-10
HH1036,S10036,,V1007,District A,31,M,Secondary,Farming,Employed,20607,31,4,45,2024-05-10
HH1037,S10037,,V1008,District A,55,M,Secondary,Farming,Employed,10091,44,4,45,2024-05-10
HH1038,S10038,,V1009,District A,35,M,Secondary,Farming,Employed,14229,41,4,45,2024-05-10
HH1039,S10039,,V1010,District A,23,M,Secondary,Farming,Employed,15992,47,4,45,2024-05-10
HH1040,S10040,,V1001,District A,39,M,Secondary,Farming,Employed,17900,45,4,45,2024-05-10
HH1041,S10041,,V1002,District A,47,M,Secondary,Farming,Employed,19704,37,4,45,2024-05-10
HH1042,S10042,,V1003,District A,43,M,Secondary,Farming,Employed,11055,39,4,45,2024-05-10
HH1043,S10043,,V1004,District A,36,M,Secondary,Farming,Employed,11865,44,4,45,2024-05-10
HH1044,S10044,,V1005,District A,40,M,Secondary,Farming,Employed,13257,48,4,45,2024-05-10
HH1045,S10045,,V1006,District A,33,M,Secondary,Farming,Employed,25714,32,4,45,2024-05-10
HH1046,S10046,,V1007,District A,47,M,Secondary,Farming,Employed,27617,37,4,45,2024-05-10
HH1047,S10047,,V1008,District A,51,M,Secondary,Farming,Employed,27309,47,4,45,2024-05-10
HH1048,S10048,,V1009,District A,40,M,Secondary,Farming,Employed,22398,40,4,45,2024-05-10
HH1049,S10049,,V1010,District A,56,M,Secondary,Farming,Employed,28135,38,4,45,2024-05-10
HH1050,S10050,,V1001,District A,46,M,Secondary,Farming,Employed,22312,37,4,45,2024-05-10
HH1051,S10051,,V1002,District A,51,M,Secondary,Farming,Employed,28587,34,4,45,2024-05-10
HH1052,S10052,,V1003,District A,25,M,Secondary,Farming,Employed,12292,45,4,45,2024-05-10
HH1053,S10053,,V1004,District A,40,M,Secondary,Farming,Employed,26422,40,4,45,2024-05-10
HH1054,S10054,,V1005,District A,18,M,Secondary,Farming,Employed,20623,45,4,45,2024-05-10
HH1055,S10055,,V1006,District A,56,M,Secondary,Farming,Employed,12033,42,4,45,2024-05-10
HH1056,S10056,,V1007,District A,35,M,Secondary,Farming,Employed,23255,40,4,45,2024-05-10
HH1057,S10057,,V1008,District A,48,M,Secondary,Farming,Employed,11242,32,4,45,2024-05-10
HH1058,S10058,,V1009,District A,28,M,Secondary,Farming,Employed,24575,39,4,45,2024-05-10
HH1059,S10059,,V1010,District A,29,M,Secondary,Farming,Employed,19295,40,4,45,2024-05-10
HH1060,S10060,,V1001,District A,34,M,Secondary,Farming,Employed,29519,38,4,45,2024-05-10
HH1061,S10061,,V1002,District A,24,M,Secondary,Farming,Employed,12918,45,4,45,2024-05-10
HH1062,S10062,,V1003,District A,36,M,Secondary,Farming,Employed,26579,33,4,45,2024-05-10
HH1063,S10063,,V1004,District A,52,M,Secondary,Farming,Employed,13974,40,4,45,2024-05-10
HH1064,S10064,,V1005,District A,59,M,Secondary,Farming,Employed,18840,43,4,45,2024-05-10
HH1065,S10065,,V1006,District A,41,M,Secondary,Farming,Employed,20275,39,4,45,2024-05-10
HH1066,S10066,,V1007,District A,36,M,Secondary,Farming,Employed,16119,30,4,45,2024-05-10
HH1067,S10067,,V1008,District A,24,M,Secondary,Farming,Employed,16241,30,4,45,2024-05-10
HH1068,S10068,,V1009,District A,48,M,Secondary,Farming,Employed,15217,42,4,45,2024-05-10
HH1069,S10069,,V1010,District A,56,M,Secondary,Farming,Employed,16490,30,4,45,2024-05-10
HH1070,S10070,,V1001,District A,22,M,Secondary,Farming,Employed,28610,36,4,45,2024-05-10
HH1071,S10071,,V1002,District A,21,M,Secondary,Farming,Employed,21002,46,4,45,2024-05-10
HH1072,S10072,,V1003,District A,26,M,Secondary,Farming,Employed,20175,40,4,45,2024-05-10
HH1073,S10073,,V1004,District A,43,M,Secondary,Farming,Employed,11704,42,4,45,2024-05-10
HH1074,S10074,,V1005,District A,50,M,Secondary,Farming,Employed,27668,31,4,45,2024-05-10
HH1075,S10075,,V1006,District A,25,M,Secondary,Farming,Employed,20244,35,4,45,2024-05-10
HH1076,S10076,,V1007,District A,30,M,Secondary,Farming,Employed,10705,40,4,45,2024-05-10
HH1077,S10077,,V1008,District A,20,M,Secondary,Farming,Employed,11475,36,4,45,2024-05-10
HH1078,S10078,,V1009,District A,50,M,Secondary,Farming,Employed,12849,49,4,45,2024-05-10
HH1079,S10079,,V1010,District A,48,M,Secondary,Farming,Employed,16831,45,4,45,2024-05-10
HH1080,S10080,,V1001,District A,35,M,Secondary,Farming,Employed,14107,43,4,45,2024-05-10
HH1081,S10081,,V1002,District A,41,M,Secondary,Farming,Employed,21627,38,4,45,2024-05-10
HH1082,S10082,,V1003,District A,34,M,Secondary,Farming,Employed,25462,37,4,45,2024-05-10
HH1083,S10083,,V1004,District A,18,M,Secondary,Farming,Employed,12464,33,4,45,2024-05-10
HH1084,S10084,,V1005,District A,23,M,Secondary,Farming,Employed,19404,41,4,45,2024-05-10
HH1085,S10085,,V1006,District A,33,M,Secondary,Farming,Employed,19336,36,4,45,2024-05-10
HH1086,S10086,,V1007,District A,48,M,Secondary,Farming,Employed,16427,31,4,45,2024-05-10
HH1087,S10087,,V1008,District A,26,M,Secondary,Farming,Employed,29125,33,4,45,2024-05-10
HH1088,S10088,,V1009,District A,52,M,Secondary,Farming,Employed,16269,33,4,45,2024-05-10
HH1089,S10089,,V1010,District A,47,M,Secondary,Farming,Employed,28154,46,4,45,2024-05-10
HH1090,S10090,,V1001,District A,48,M,Secondary,Farming,Employed,24561,34,4,45,2024-05-10
HH1091,S10091,,V1002,District A,19,M,Secondary,Farming,Employed,16489,48,4,45,2024-05-10
HH1092,S10092,,V1003,District A,26,M,Secondary,Farming,Employed,15324,38,4,45,2024-05-10
HH1093,S10093,,V1004,District A,35,M,Secondary,Farming,Employed,11533,46,4,45,2024-05-10
HH1094,S10094,,V1005,District A,45,M,Secondary,Farming,Employed,10734,41,4,45,2024-05-10
HH1095,S10095,,V1006,District A,48,M,Secondary,Farming,Employed,16707,41,4,45,2024-05-10
HH1096,S10096,,V1007,District A,59,M,Secondary,Farming,Employed,22373,46,4,45,2024-05-10
HH1097,S10097,,V1008,District A,30,M,Secondary,Farming,Employed,26242,45,4,45,2024-05-10
HH1098,S10098,,V1009,District A,37,M,Secondary,Farming,Employed,13260,33,4,45,2024-05-10
HH1099,S10099,,V1010,District A,45,M,Secondary,Farming,Employed,16566,36,4,45,2024-05-10
HH1100,S10100,,V1001,District A,31,M,Secondary,Farming,Employed,28554,42,4,45,2024-05-10
HH1101,S10101,,V1002,District A,22,M,Secondary,Farming,Employed,23426,40,4,45,2024-05-10
HH1102,S10102,,V1003,District A,39,M,Secondary,Farming,Employed,16686,48,4,45,2024-05-10
HH1103,S10103,,V1004,District A,29,M,Secondary,Farming,Employed,26059,46,4,45,2024-05-10
HH1104,S10104,,V1005,District A,37,M,Secondary,Farming,Employed,26884,45,4,45,2024-05-10
HH1105,S10105,,V1006,District A,51,M,Secondary,Farming,Employed,17142,43,4,45,2024-05-10
HH1106,S10106,,V1007,District A,21,M,Secondary,Farming,Employed,25482,30,4,45,2024-05-10
HH1107,S10107,,V1008,District A,46,M,Secondary,Farming,Employed,11458,41,4,45,2024-05-10
HH1108,S10108,,V1009,District A,20,M,Secondary,Farming,Employed,26949,48,4,45,2024-05-10
HH1109,S10109,,V1010,District A,44,M,Secondary,Farming,Employed,25384,39,4,45,2024-05-10
HH1110,S10110,,V1001,District A,37,M,Secondary,Farming,Employed,10045,48,4,45,2024-05-10
HH1111,S10111,,V1002,District A,53,M,Secondary,Farming,Employed,23460,38,4,45,2024-05-10
HH1112,S10112,,V1003,District A,51,M,Secondary,Farming,Employed,17077,45,4,45,2024-05-10
HH1113,S10113,,V1004,District A,40,M,Secondary,Farming,Employed,11452,47,4,45,2024-05-10
HH1114,S10114,,V1005,District A,35,M,Secondary,Farming,Employed,16558,36,4,45,2024-05-10
HH1115,S10115,,V1006,District A,40,M,Secondary,Farming,Employed,10875,30,4,45,2024-05-10
HH1116,S10116,,V1007,District A,27,M,Secondary,Farming,Employed,11882,39,4,45,2024-05-10
HH1117,S10117,,V1008,District A,44,M,Secondary,Farming,Employed,24370,40,4,45,2024-05-10
HH1118,S10118,,V1009,District A,48,M,Secondary,Farming,Employed,26452,48,4,45,2024-05-10
HH1119,S10119,,V1010,District A,56,M,Secondary,Farming,Employed,12562,45,4,45,2024-05-10
HH1120,S10120,,V1001,District A,45,M,Secondary,Farming,Employed,23525,40,4,45,2024-05-10
HH1121,S10121,,V1002,District A,51,M,Secondary,Farming,Employed,19615,34,4,45,2024-05-10
HH1122,S10122,,V1003,District A,52,M,Secondary,Farming,Employed,11649,47,4,45,2024-05-10
HH1123,S10123,,V1004,District A,27,M,Secondary,Farming,Employed,17218,45,4,45,2024-05-10
HH1124,S10124,,V1005,District A,26,M,Secondary,Farming,Employed,20500,43,4,45,2024-05-10
HH1125,S10125,,V1006,District A,41,M,Secondary,Farming,Employed,14554,46,4,45,2024-05-10
HH1126,S10126,,V1007,District A,27,M,Secondary,Farming,Employed,17798,36,4,45,2024-05-10
HH1127,S10127,,V1008,District A,48,M,Secondary,Farming,Employed,28281,45,4,45,2024-05-10
HH1128,S10128,,V1009,District A,37,M,Secondary,Farming,Employed,22439,36,4,45,2024-05-10
HH1129,S10129,,V1010,District A,38,M,Secondary,Farming,Employed,29520,39,4,45,2024-05-10
HH1130,S10130,,V1001,District A,26,M,Secondary,Farming,Employed,17522,44,4,45,2024-05-10
HH1131,S10131,,V1002,District A,46,M,Secondary,Farming,Employed,20594,44,4,45,2024-05-10
HH1132,S10132,,V1003,District A,36,M,Secondary,Farming,Employed,19799,33,4,45,2024-05-10
HH1133,S10133,,V1004,District A,49,M,Secondary,Farming,Employed,26354,39,4,45,2024-05-10
HH1134,S10134,,V1005,District A,57,M,Secondary,Farming,Employed,20491,35,4,45,2024-05-10
HH1135,S10135,,V1006,District A,39,M,Secondary,Farming,Employed,29399,38,4,45,2024-05-10
HH1136,S10136,,V1007,District A,35,M,Secondary,Farming,Employed,12103,46,4,45,2024-05-10
HH1137,S10137,,V1008,District A,52,M,Secondary,Farming,Employed,23733,39,4,45,2024-05-10
HH1138,S10138,,V1009,District A,56,M,Secondary,Farming,Employed,25009,36,4,45,2024-05-10
HH1139,S10139,,V1010,District A,33,M,Secondary,Farming,Employed,21698,33,4,45,2024-05-10
HH1140,S10140,,V1001,District A,59,M,Secondary,Farming,Employed,29562,44,4,45,2024-05-10
HH1141,S10141,,V1002,District A,33,M,Secondary,Farming,Employed,16544,46,4,45,2024-05-10
HH1142,S10142,,V1003,District A,46,M,Secondary,Farming,Employed,20749,41,4,45,2024-05-10
HH1143,S10143,,V1004,District A,18,M,Secondary,Farming,Employed,10284,42,4,45,2024-05-10
HH1144,S10144,,V1005,District A,40,M,Secondary,Farming,Employed,20503,33,4,45,2024-05-10
HH1145,S10145,,V1006,District A,58,M,Secondary,Farming,Employed,11726,46,4,45,2024-05-10
HH1146,S10146,,V1007,District A,23,M,Secondary,Farming,Employed,10559,34,4,45,2024-05-10
HH1147,S10147,,V1008,District A,38,M,Secondary,Farming,Employed,13926,39,4,45,2024-05-10
HH1148,S10148,,V1009,District A,34,M,Secondary,Farming,Employed,14996,47,4,45,2024-05-10
HH1149,S10149,,V1010,District A,52,M,Secondary,Farming,Employed,13909,44,4,45,2024-05-10
HH1150,S10150,,V1001,District A,20,M,Secondary,Farming,Employed,21935,36,4,45,2024-05-10
HH1151,S10151,,V1002,District A,48,M,Secondary,Farming,Employed,29816,36,4,45,2024-05-10
HH1152,S10152,,V1003,District A,46,M,Secondary,Farming,Employed,21165,40,4,45,2024-05-10
HH1153,S10153,,V1004,District A,31,M,Secondary,Farming,Employed,14989,47,4,45,2024-05-10
HH1154,S10154,,V1005,District A,51,M,Secondary,Farming,Employed,24418,41,4,45,2024-05-10
HH1155,S10155,,V1006,District A,56,M,Secondary,Farming,Employed,27086,38,4,45,2024-05-10
HH1156,S10156,,V1007,District A,34,M,Secondary,Farming,Employed,12007,37,4,45,2024-05-10
HH1157,S10157,,V1008,District A,45,M,Secondary,Farming,Employed,10292,30,4,45,2024-05-10
HH1158,S10158,,V1009,District A,24,M,Secondary,Farming,Employed,24324,39,4,45,2024-05-10
HH1159,S10159,,V1010,District A,37,M,Secondary,Farming,Employed,16563,41,4,45,2024-05-10
HH1160,S10160,,V1001,District A,31,M,Secondary,Farming,Employed,10240,45,4,45,2024-05-10
HH1161,S10161,,V1002,District A,26,M,Secondary,Farming,Employed,15821,31,4,45,2024-05-10
HH1162,S10162,,V1003,District A,29,M,Secondary,Farming,Employed,17839,39,4,45,2024-05-10
HH1163,S10163,,V1004,District A,45,M,Secondary,Farming,Employed,28846,42,4,45,2024-05-10
HH1164,S10164,,V1005,District A,49,M,Secondary,Farming,Employed,22762,45,4,45,2024-05-10
HH1165,S10165,,V1006,District A,39,M,Secondary,Farming,Employed,12564,43,4,45,2024-05-10
HH1166,S10166,,V1007,District A,19,M,Secondary,Farming,Employed,14055,31,4,45,2024-05-10
HH1167,S10167,,V1008,District A,40,M,Secondary,Farming,Employed,19495,43,4,45,2024-05-10
HH1168,S10168,,V1009,District A,25,M,Secondary,Farming,Employed,28094,42,4,45,2024-05-10
HH1169,S10169,,V1010,District A,54,M,Secondary,Farming,Employed,21921,42,4,45,2024-05-10
HH1170,S10170,,V1001,District A,19,M,Secondary,Farming,Employed,20436,31,4,45,2024-05-10
HH1171,S10171,,V1002,District A,20,M,Secondary,Farming,Employed,21125,42,4,45,2024-05-10
HH1172,S10172,,V1003,District A,29,M,Secondary,Farming,Employed,10849,49,4,45,2024-05-10
HH1173,S10173,,V1004,District A,32,M,Secondary,Farming,Employed,24059,33,4,45,2024-05-10
HH1174,S10174,,V1005,District A,55,M,Secondary,Farming,Employed,23518,30,4,45,2024-05-10
HH1175,S10175,,V1006,District A,49,M,Secondary,Farming,Employed,12222,42,4,45,2024-05-10
HH1176,S10176,,V1007,District A,52,M,Secondary,Farming,Employed,26292,35,4,45,2024-05-10
HH1177,S10177,,V1008,District A,57,M,Secondary,Farming,Employed,10145,39,4,45,2024-05-10
HH1178,S10178,,V1009,District A,33,M,Secondary,Farming,Employed,21423,35,4,45,2024-05-10
HH1179,S10179,,V1010,District A,38,M,Secondary,Farming,Employed,15979,33,4,45,2024-05-10
HH1180,S10180,,V1001,District A,38,M,Secondary,Farming,Employed,20520,32,4,45,2024-05-10
HH1181,S10181,,V1002,District A,50,M,Secondary,Farming,Employed,14093,45,4,45,2024-05-10
HH1182,S10182,,V1003,District A,59,M,Secondary,Farming,Employed,14032,43,4,45,2024-05-10
HH1183,S10183,,V1004,District A,59,M,Secondary,Farming,Employed,15642,31,4,45,2024-05-10
HH1184,S10184,,V1005,District A,45,M,Secondary,Farming,Employed,26869,47,4,45,2024-05-10
HH1185,S10185,,V1006,District A,42,M,Secondary,Farming,Employed,27765,48,4,45,2024-05-10
HH1186,S10186,,V1007,District A,35,M,Secondary,Farming,Employed,10634,42,4,45,2024-05-10
HH1187,S10187,,V1008,District A,24,M,Secondary,Farming,Employed,11691,46,4,45,2024-05-10
HH1188,S10188,,V1009,District A,47,M,Secondary,Farming,Employed,26836,46,4,45,2024-05-10
HH1189,S10189,,V1010,District A,37,M,Secondary,Farming,Employed,27062,45,4,45,2024-05-10
HH1190,S10190,,V1001,District A,55,M,Secondary,Farming,Employed,16133,41,4,45,2024-05-10
HH1191,S10191,,V1002,District A,40,M,Secondary,Farming,Employed,15244,32,4,45,2024-05-10
HH1192,S10192,,V1003,District A,23,M,Secondary,Farming,Employed,28480,33,4,45,2024-05-10
HH1193,S10193,,V1004,District A,56,M,Secondary,Farming,Employed,16185,49,4,45,2024-05-10
HH1194,S10194,,V1005,District A,26,M,Secondary,Farming,Employed,20076,45,4,45,2024-05-10
HH1195,S10195,,V1006,District A,31,M,Secondary,Farming,Employed,27512,41,4,45,2024-05-10
HH1196,S10196,,V1007,District A,23,M,Secondary,Farming,Employed,10553,39,4,45,2024-05-10
HH1197,S10197,,V1008,District A,49,M,Secondary,Farming,Employed,21692,37,4,45,2024-05-10
HH1198,S10198,,V1009,District A,44,M,Secondary,Farming,Employed,15650,36,4,45,2024-05-10
HH1199,S10199,,V1010,District A,50,M,Secondary,Farming,Employed,25590,44,4,45,2024-05-10
HH1200,S10200,,V1001,District A,18,M,Secondary,Farming,Employed,12816,37,4,45,2024-05-10
HH1201,S10201,,V1002,District A,21,M,Secondary,Farming,Employed,13492,36,4,45,2024-05-10
HH1202,S10202,,V1003,District A,31,M,Secondary,Farming,Employed,23436,33,4,45,2024-05-10
HH1203,S10203,,V1004,District A,49,M,Secondary,Farming,Employed,21502,38,4,45,2024-05-10
HH1204,S10204,,V1005,District A,27,M,Secondary,Farming,Employed,27197,41,4,45,2024-05-10
HH1205,S10205,,V1006,District A,30,M,Secondary,Farming,Employed,12810,38,4,45,2024-05-10
HH1206,S10206,,V1007,District A,45,M,Secondary,Farming,Employed,28872,45,4,45,2024-05-10
HH1207,S10207,,V1008,District A,29,M,Secondary,Farming,Employed,27758,47,4,45,2024-05-10
HH1208,S10208,,V1009,District A,44,M,Secondary,Farming,Employed,26556,40,4,45,2024-05-10
HH1209,S10209,,V1010,District A,24,M,Secondary,Farming,Employed,16294,35,4,45,2024-05-10
HH1210,S10210,,V1001,District A,47,M,Secondary,Farming,Employed,25815,32,4,45,2024-05-10
HH1211,S10211,,V1002,District A,31,M,Secondary,Farming,Employed,22022,42,4,45,2024-05-10
HH1212,S10212,,V1003,District A,40,M,Secondary,Farming,Employed,28637,47,4,45,2024-05-10
HH1213,S10213,,V1004,District A,58,M,Secondary,Farming,Employed,24891,46,4,45,2024-05-10
HH1214,S10214,,V1005,District A,47,M,Secondary,Farming,Employed,28669,49,4,45,2024-05-10
HH1215,S10215,,V1006,District A,33,M,Secondary,Farming,Employed,21359,42,4,45,2024-05-10
HH1216,S10216,,V1007,District A,26,M,Secondary,Farming,Employed,26794,30,4,45,2024-05-10
HH1217,S10217,,V1008,District A,33,M,Secondary,Farming,Employed,20324,37,4,45,2024-05-10
HH1218,S10218,,V1009,District A,33,M,Secondary,Farming,Employed,21659,34,4,45,2024-05-10
HH1219,S10219,,V1010,District A,27,M,Secondary,Farming,Employed,23439,47,4,45,2024-05-10
HH1220,S10220,,V1001,District A,59,M,Secondary,Farming,Employed,27831,48,4,45,2024-05-10
HH1221,S10221,,V1002,District A,27,M,Secondary,Farming,Employed,26341,31,4,45,2024-05-10
HH1222,S10222,,V1003,District A,46,M,Secondary,Farming,Employed,20220,42,4,45,2024-05-10
HH1223,S10223,,V1004,District A,51,M,Secondary,Farming,Employed,24563,47,4,45,2024-05-10
HH1224,S10224,,V1005,District A,37,M,Secondary,Farming,Employed,28504,47,4,45,2024-05-10
HH1225,S10225,,V1006,District A,38,M,Secondary,Farming,Employed,28940,44,4,45,2024-05-10
HH1226,S10226,,V1007,District A,54,M,Secondary,Farming,Employed,18552,42,4,45,2024-05-10
HH1227,S10227,,V1008,District A,19,M,Secondary,Farming,Employed,14133,42,4,45,2024-05-10
HH1228,S10228,,V1009,District A,41,M,Secondary,Farming,Employed,10336,34,4,45,2024-05-10
HH1229,S10229,,V1010,District A,21,M,Secondary,Farming,Employed,13465,42,4,45,2024-05-10
HH1230,S10230,,V1001,District A,57,M,Secondary,Farming,Employed,17536,32,4,45,2024-05-10
HH1231,S10231,,V1002,District A,57,M,Secondary,Farming,Employed,22264,42,4,45,2024-05-10
HH1232,S10232,,V1003,District A,46,M,Secondary,Farming,Employed,15745,49,4,45,2024-05-10
HH1233,S10233,,V1004,District A,50,M,Secondary,Farming,Employed,15366,40,4,45,2024-05-10
HH1234,S10234,,V1005,District A,51,M,Secondary,Farming,Employed,24312,37,4,45,2024-05-10
HH1235,S10235,,V1006,District A,55,M,Secondary,Farming,Employed,29137,45,4,45,2024-05-10
HH1236,S10236,,V1007,District A,23,M,Secondary,Farming,Employed,28305,45,4,45,2024-05-10
HH1237,S10237,,V1008,District A,30,M,Secondary,Farming,Employed,19938,47,4,45,2024-05-10
HH1238,S10238,,V1009,District A,50,M,Secondary,Farming,Employed,21458,41,4,45,2024-05-10
HH1239,S10239,,V1010,District A,22,M,Secondary,Farming,Employed,19333,32,4,45,2024-05-10
HH1240,S10240,,V1001,District A,45,M,Secondary,Farming,Employed,15855,43,4,45,2024-05-10
HH1241,S10241,,V1002,District A,41,M,Secondary,Farming,Employed,16003,39,4,45,2024-05-10
HH1242,S10242,,V1003,District A,59,M,Secondary,Farming,Employed,28975,47,4,45,2024-05-10
HH1243,S10243,,V1004,District A,34,M,Secondary,Farming,Employed,28157,34,4,45,2024-05-10
HH1244,S10244,,V1005,District A,20,M,Secondary,Farming,Employed,20620,34,4,45,2024-05-10
HH1245,S10245,,V1006,District A,40,M,Secondary,Farming,Employed,13933,42,4,45,2024-05-10
HH1246,S10246,,V1007,District A,25,M,Secondary,Farming,Employed,19396,33,4,45,2024-05-10
HH1247,S10247,,V1008,District A,28,M,Secondary,Farming,Employed,18247,41,4,45,2024-05-10
HH1248,S10248,,V1009,District A,46,M,Secondary,Farming,Employed,20479,46,4,45,2024-05-10
HH1249,S10249,,V1010,District A,58,M,Secondary,Farming,Employed,23828,43,4,45,2024-05-10
HH1250,S10250,,V1001,District A,29,M,Secondary,Farming,Employed,14423,47,4,45,2024-05-10
HH1251,S10251,,V1002,District A,55,M,Secondary,Farming,Employed,24386,33,4,45,2024-05-10
HH1252,S10252,,V1003,District A,34,M,Secondary,Farming,Employed,11586,34,4,45,2024-05-10
HH1253,S10253,,V1004,District A,19,M,Secondary,Farming,Employed,15985,33,4,45,2024-05-10
HH1254,S10254,,V1005,District A,22,M,Secondary,Farming,Employed,24841,40,4,45,2024-05-10
HH1255,S10255,,V1006,District A,45,M,Secondary,Farming,Employed,22610,41,4,45,2024-05-10
HH1256,S10256,,V1007,District A,20,M,Secondary,Farming,Employed,15208,36,4,45,2024-05-10
HH1257,S10257,,V1008,District A,49,M,Secondary,Farming,Employed,21846,44,4,45,2024-05-10
HH1258,S10258,,V1009,District A,21,M,Secondary,Farming,Employed,29489,33,4,45,2024-05-10
HH1259,S10259,,V1010,District A,49,M,Secondary,Farming,Employed,24458,49,4,45,2024-05-10
HH1260,S10260,,V1001,District A,44,M,Secondary,Farming,Employed,10201,40,4,45,2024-05-10
HH1261,S10261,,V1002,District A,21,M,Secondary,Farming,Employed,25780,31,4,45,2024-05-10
HH1262,S10262,,V1003,District A,45,M,Secondary,Farming,Employed,27134,37,4,45,2024-05-10
HH1263,S10263,,V1004,District A,35,M,Secondary,Farming,Employed,25781,34,4,45,2024-05-10
HH1264,S10264,,V1005,District A,34,M,Secondary,Farming,Employed,11786,36,4,45,2024-05-10
HH1265,S10265,,V1006,District A,42,M,Secondary,Farming,Employed,20100,49,4,45,2024-05-10
HH1266,S10266,,V1007,District A,41,M,Secondary,Farming,Employed,25928,46,4,45,2024-05-10
HH1267,S10267,,V1008,District A,31,M,Secondary,Farming,Employed,19357,31,4,45,2024-05-10
HH1268,S10268,,V1009,District A,56,M,Secondary,Farming,Employed,21836,34,4,45,2024-05-10
HH1269,S10269,,V1010,District A,51,M,Secondary,Farming,Employed,27561,38,4,45,2024-05-10
HH1270,S10270,,V1001,District A,52,M,Secondary,Farming,Employed,27003,47,4,45,2024-05-10
HH1271,S10271,,V1002,District A,53,M,Secondary,Farming,Employed,10116,46,4,45,2024-05-10
HH1272,S10272,,V1003,District A,59,M,Secondary,Farming,Employed,12004,33,4,45,2024-05-10
HH1273,S10273,,V1004,District A,54,M,Secondary,Farming,Employed,26864,47,4,45,2024-05-10
HH1274,S10274,,V1005,District A,34,M,Secondary,Farming,Employed,22391,35,4,45,2024-05-10
HH1275,S10275,,V1006,District A,56,M,Secondary,Farming,Employed,25944,30,4,45,2024-05-10
HH1276,S10276,,V1007,District A,55,M,Secondary,Farming,Employed,22975,45,4,45,2024-05-10
HH1277,S10277,,V1008,District A,42,M,Secondary,Farming,Employed,17890,31,4,45,2024-05-10
